from_station,to_station,datetime,skills,assigned_employee,hour,day_of_week
Station A,Station C,2024-06-07 13:46:48.561446,Skill 3,1,13,4
Station G,Station E,2024-05-09 23:42:48.561458,Skill 2,10,23,3
Station E,Station H,2024-05-30 16:35:48.561464,Skill 4,3,16,3
Station D,Station B,2024-05-16 07:58:48.561468,Skill 2,4,7,3
Station D,Station B,2024-05-14 06:59:48.561473,Skill 1,7,6,1
Station A,Station C,2024-05-28 20:09:48.561478,Skill 4,8,20,1
Station B,Station E,2024-06-01 14:06:48.561483,Skill 4,2,14,5
Station B,Station A,2024-05-17 21:16:48.561487,Skill 2,3,21,4
Station E,Station G,2024-05-25 16:08:48.561491,Skill 4,1,16,5
Station B,Station A,2024-05-31 07:17:48.561496,Skill 4,8,7,4
Station G,Station H,2024-05-17 18:55:48.561500,Skill 2,3,18,4
Station G,Station H,2024-05-19 13:08:48.561505,Skill 2,8,13,6
Station H,Station C,2024-05-12 10:26:48.561509,Skill 1,4,10,6
Station B,Station G,2024-05-26 17:09:48.561513,Skill 3,6,17,6
Station B,Station F,2024-05-31 19:47:48.561517,Skill 2,2,19,4
Station E,Station A,2024-06-05 23:44:48.561521,Skill 4,8,23,2
Station H,Station D,2024-06-02 11:48:48.561526,Skill 4,5,11,6
Station D,Station F,2024-05-19 19:42:48.561530,Skill 1,3,19,6
Station D,Station A,2024-06-05 07:23:48.561534,Skill 1,1,7,2
Station H,Station D,2024-05-17 01:04:48.561539,Skill 3,2,1,4
Station G,Station B,2024-05-29 08:54:48.561543,Skill 3,9,8,2
Station A,Station H,2024-06-07 06:32:48.561547,Skill 4,10,6,4
Station H,Station G,2024-05-15 11:36:48.561551,Skill 2,9,11,2
Station E,Station B,2024-05-21 05:46:48.561555,Skill 1,4,5,1
Station G,Station A,2024-05-17 23:18:48.561559,Skill 4,2,23,4
Station C,Station A,2024-06-06 04:44:48.561563,Skill 1,4,4,3
Station C,Station B,2024-05-15 00:12:48.561567,Skill 3,6,0,2
Station B,Station G,2024-06-02 22:14:48.561572,Skill 2,3,22,6
Station D,Station F,2024-05-20 03:55:48.561576,Skill 3,3,3,0
Station A,Station C,2024-05-21 20:58:48.561580,Skill 1,3,20,1
Station G,Station A,2024-05-10 07:05:48.561584,Skill 3,8,7,4
Station G,Station F,2024-06-01 06:24:48.561589,Skill 3,5,6,5
Station H,Station A,2024-06-03 03:29:48.561593,Skill 2,9,3,0
Station F,Station G,2024-05-30 11:27:48.561598,Skill 1,10,11,3
Station A,Station G,2024-05-20 15:45:48.561602,Skill 1,3,15,0
Station C,Station H,2024-06-02 15:00:48.561606,Skill 3,7,15,6
Station B,Station G,2024-05-10 17:26:48.561611,Skill 3,8,17,4
Station G,Station D,2024-05-15 10:34:48.561615,Skill 1,6,10,2
Station E,Station H,2024-05-24 14:01:48.561620,Skill 1,1,14,4
Station D,Station G,2024-05-10 00:15:48.561625,Skill 4,1,0,4
Station B,Station F,2024-05-28 13:35:48.561629,Skill 3,6,13,1
Station F,Station C,2024-05-20 16:26:48.561633,Skill 3,3,16,0
Station G,Station D,2024-05-18 00:59:48.561637,Skill 4,4,0,5
Station A,Station B,2024-05-12 22:35:48.561642,Skill 4,6,22,6
